1,1.1,Nice service and nice food
SHIV CHANDRA,0,This place has a nice view of Times Square. But the food was slow and expensive. They messed up our order and didn't seem too concerned about it. I wouldn't go there again.
0,0,I ordered it spicy and it was barely spiced.
1,1,"Cozy, beautiful view, great food. The pokebowl was something special. Definitely the best pokebowl I have tried. Everyone was super satisfied. 😍"
1,1,Just FABULOUS!!!
1,1,"When I travel to new york, this restaurant was one one of my favorites. The food is very good and the service is perfect. 100% recommend"
1,1,This was a random lunch stop for me and I was pleasantly surprised. I walked in and felt a very fast food Diner kind of vibe. I ordered a patty melt that tasted like someones grandma made it in the back.. SO GOOD! The prices were pretty low as well! I can't wait to go back and try more 👍🏼
0,0,The fixed buffet menu is not at all good servers a lot of food which get wasted and menu is not different or unique as per the price .
0,0,"Great view, food was ok but the service was terrible. I can’t believe I paid a 13.5% service charge, I was just so desperate to get out after trying to flag down anyone to let us out"
1,1,We visited here for lunch after reading amazing reviews and were not disappointed.The food is to an excellent standard as was the service so welcoming and will definately return.
1,1,Staff was great! Very knowledgeable and can accommodate GF also. They have a whole seperate kitchen for special diets!
0,0,Nasty as hell would never come here !!! I order the ribs and chicken and it was raw the ribs where dry will never come here customer service is the worst !!!'n
0,0,"The waiter was soooo rude and slow I didn't like the place , oh did I mention that the waiter was rude"
1,1,"This place is such a delightfully old-school treat, with its decor and art works. We had an excellent, hearty breakfast for two for a total of £11/ USD15 with swift and efficient service. It is the place to go for breakfast on a Sunday morning, so get there early as the rest of Buenos Aires will be going there too."
0,0,"Don't go here if you're hungry. WORST PLACE I HAVE BEEN TO IN THAILAND. I ordered crispy pork which was dry and hard as a rock, and got a salad with peanuts when I ordered WITHOUT, because I'm ALLERGIC. They never gave me new food and didn't even ask if I wanted to eat something else instead."
1,1,Is a beautiful place to be
0,0,By far the worst fast food restraunt i have ever visited. Over 35 minute wait in the drive through queue. It was so slow i would have left if had the chance. As you coule see Deliveroo drivers coming and going. Do they take priority over everybody else?
0,0,"My wife and I had breakfast at McDonalds one morning while staying in New York (1st to 10th November) and it was awful.The muffin tasted like a sugar bun, it was disgusting. I don’t recommend breakfast here. The Mc muffins are better in Australia."
0,0,"It was just an awful experience, being going there the last 11 years today was just very bad experience. Not planning to go back."
1,1,"We ate here again for dinner last month and this out favourite Red Lobster in Orlando.We were looked after by Hans who has been there for a long time, and he looks after you so well, very friendly and offers some nice points to consider with the food.Food was all excellent. We had a mix of lobster, crab claws, shrimp of varying types and two of us had a steak in our entrees. All were cooked perfectly and all plates were clean.They have a good selection of cocktails including the huge lobsterita which is beautiful. Desserts are good too with the Chocolate Wave a favourite for my husband and son. It`s absolutely big enough for sharing.Look forward to our next visit."
1,1,Everything was amazing! And every single person who served us was so helpful and friendly. Can’t wait to visit again
1,1,"Great food and good service!! Thanks K’Jone , a nice staff!! The place is clean and tidy. Also,the variety of food is fantastic. The staffs are so nice and friendly. Easy to park at the hotel."
1,1,We arrived late to Seattle and hungry! I looked up fast food and got The Fish Box! It's gourmet fast food! We ordered the Catfish sandwich with the brownie dessert and strawberry cheesecake. Amazing!! The fish was crispy and seasoned perfectly. I didn't eat the fries but my husband devoured it! The guys were sweet and took my order even though we ordered super late. Thank you!
0,0,"Awful, rude managers ,no sauce on burger, worse service ever ,wrong order ,communication skills way off."
0,1,Foods was a good portion and meat was very tender. It was a far too long to wait be served and very slow service. And there was no working light in the toilet. I do not think I wil 
0,0,Booked this for a special occasion based on the fantastic reviews. Food was disappointing- badly undercooked risotto and flavourless take main for my partner. 
1,1,"We ate here on Friday night and had a fantastic night. The restaurant has such a great up-beat atmosphere from the music to the attitude of the staff and the decor. The food does not disappoint either. Across the selection of dishes we chose, each was unique and bursting with flavour. The monkfish was a particular highlight."
1,1,"Friendly reception at the entrance and excellent service throughout the evening framed our experience this time. As returning guests, we choose l’Avenue for a reason. The food, wine and atmosphere was excellent. Our high expectations were met, and we are without a doubt happy to recommend this place. Bonne soirée!"
0,0,"My friends and I have eaten in the restaurant several times and burgers come with fries and onion rings, making for a complete meal. I was shocked to find the restaurant charges the same price to provide nothing but a burger for Deliveroo. I can't think of any good reason for this but blatant profiteering. We won't be ordering/frequenting Laundrette again."
1,1,"We had one pulled pork burrito and another vegetarian burrito with mushrooms. They were both outstanding and good value for money, definitely recommend!"
